name,regularPrice,stock,description,promotionalPrice,promotionStart,promotionExpiration
Produto 38,49462,393,Descrição do produto 38,49424,2025-06-17,2025-06-24
Produto 39,446,753,Descrição do produto 39,433,2025-06-16,2025-07-12
Produto 40,38520,311,Descrição do produto 40,38514,2025-06-09,2025-06-11
Produto 41,46187,473,Descrição do produto 41,46178,2025-06-28,2025-07-03
Produto 42,37753,947,Descrição do produto 42,37732,2025-06-24,2025-06-27
Produto 43,31689,834,Descrição do produto 43,31673,2025-06-24,2025-07-15
Produto 44,33317,458,Descrição do produto 44,33279,2025-06-18,2025-07-01
Produto 45,42744,393,Descrição do produto 45,42730,2025-06-24,2025-06-28
Produto 46,5191,8,Descrição do produto 46,5146,2025-06-11,2025-06-17
Produto 47,38723,213,Descrição do produto 47,38715,2025-06-13,2025-06-28
Produto 48,26568,170,Descrição do produto 48,26535,2025-06-30,2025-07-23
Produto 49,28679,347,Descrição do produto 49,28635,2025-07-01,2025-07-13
Produto 50,27157,372,Descrição do produto 50,27129,2025-07-04,2025-07-31
Produto 51,44549,665,Descrição do produto 51,44510,2025-06-14,2025-06-20
Produto 52,38786,680,Descrição do produto 52,38751,2025-06-29,2025-07-27
Produto 53,9361,542,Descrição do produto 53,9331,2025-06-28,2025-07-15
Produto 54,46582,499,Descrição do produto 54,46539,2025-07-01,2025-07-16
Produto 55,15799,533,Descrição do produto 55,15762,2025-06-09,2025-06-15
Produto 56,26960,929,Descrição do produto 56,26920,2025-06-19,2025-06-22
Produto 57,32004,145,Descrição do produto 57,31998,2025-06-13,2025-06-20
Produto 58,44966,274,Descrição do produto 58,44957,2025-06-13,2025-07-10
Produto 59,19831,981,Descrição do produto 59,19787,2025-06-20,2025-07-06
Produto 60,4130,825,Descrição do produto 60,4121,2025-06-20,2025-06-28
Produto 61,33395,832,Descrição do produto 61,33362,2025-07-02,2025-07-26
Produto 62,2765,348,Descrição do produto 62,2716,2025-06-12,2025-07-04
Produto 63,24814,698,Descrição do produto 63,24795,2025-06-12,2025-06-13
Produto 64,29941,618,Descrição do produto 64,29897,2025-06-11,2025-07-10
Produto 65,10208,733,Descrição do produto 65,10174,2025-07-03,2025-07-05
Produto 66,37019,961,Descrição do produto 66,37006,2025-07-06,2025-07-24
Produto 67,20152,590,Descrição do produto 67,20128,2025-06-30,2025-07-13
Produto 68,9538,947,Descrição do produto 68,9534,2025-06-13,2025-07-05
Produto 69,40335,755,Descrição do produto 69,40318,2025-06-24,2025-07-06
Produto 70,37119,178,Descrição do produto 70,37114,2025-06-29,2025-07-01
Produto 71,46966,414,Descrição do produto 71,46956,2025-06-11,2025-07-09
Produto 72,30543,489,Descrição do produto 72,30539,2025-06-30,2025-07-24
Produto 73,26616,729,Descrição do produto 73,26570,2025-06-09,2025-06-19
Produto 74,10172,875,Descrição do produto 74,10138,2025-06-09,2025-07-05
Produto 75,16047,551,Descrição do produto 75,15999,2025-06-29,2025-07-21
Produto 76,18001,616,Descrição do produto 76,17988,2025-06-26,2025-07-26
Produto 77,29312,510,Descrição do produto 77,29283,2025-06-12,2025-07-07
Produto 78,24560,294,Descrição do produto 78,24534,2025-06-22,2025-07-16
Produto 79,14962,286,Descrição do produto 79,14960,2025-07-07,2025-07-22
Produto 80,9687,562,Descrição do produto 80,9650,2025-06-28,2025-07-23
Produto 81,21284,318,Descrição do produto 81,21263,2025-06-19,2025-06-29
Produto 82,27169,205,Descrição do produto 82,27143,2025-06-09,2025-06-22
Produto 83,176,27,Descrição do produto 83,140,2025-06-29,2025-07-13
Produto 84,8084,296,Descrição do produto 84,8076,2025-07-03,2025-07-25
Produto 85,24756,824,Descrição do produto 85,24716,2025-06-24,2025-06-26
Produto 86,41776,952,Descrição do produto 86,41771,2025-06-23,2025-07-06
Produto 87,902,491,Descrição do produto 87,882,2025-06-12,2025-06-30
Produto 88,11970,559,Descrição do produto 88,11956,2025-06-15,2025-07-06
Produto 89,24602,358,Descrição do produto 89,24589,2025-07-03,2025-07-10
Produto 90,29916,163,Descrição do produto 90,29894,2025-06-26,2025-07-16
Produto 91,38287,601,Descrição do produto 91,38276,2025-07-03,2025-07-27
Produto 92,34817,670,Descrição do produto 92,34807,2025-06-23,2025-07-18
Produto 93,34616,975,Descrição do produto 93,34610,2025-06-17,2025-07-09
Produto 94,39252,843,Descrição do produto 94,39240,2025-06-14,2025-06-22
Produto 95,30994,503,Descrição do produto 95,30957,2025-06-12,2025-07-09
Produto 96,47348,975,Descrição do produto 96,47317,2025-06-24,2025-07-23
Produto 97,9704,29,Descrição do produto 97,9688,2025-07-07,2025-08-05
Produto 98,27716,385,Descrição do produto 98,27688,2025-06-28,2025-07-04
Produto 99,29308,445,Descrição do produto 99,29292,2025-06-16,2025-06-22
Produto 100,15797,981,Descrição do produto 100,15780,2025-06-19,2025-07-15
